gene_symbol,meta_p_value,meta_log2FC,n_datasets,datasets,all_same_direction,n_up,n_down,meta_adj_p_value,-log10_meta_p
FNBP4,4.747377810798703e-05,-0.6303547804099502,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005211858911423144,4.323546204427444
TYW1,4.783641297867458e-05,0.25791918130681774,3,GSE55235;GSE12021;GSE55457,False,2,1,0.0005247621309642112,4.320241393442168
TXLNGY,4.804024875859625e-05,-2.0123919759015707,3,GSE55235;GSE12021;GSE55457,True,0,3,0.000526592187470961,4.31839475243054
SLC18A2,4.8261907738100795e-05,1.2514312034596002,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005286146445709763,4.316395514922992
LDLRAP1,4.8686048498836065e-05,0.5482077723260873,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005328500754164919,4.312595472625831
C5orf15,4.9216811966790175e-05,0.35347493884033404,3,GSE55235;GSE12021;GSE55457,True,3,0,0.000538245042785158,4.307886521272638
ZC3H15,4.940408572806643e-05,-0.42708202437740245,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005398781349761361,4.306237133348017
MAP4,4.9500200024699126e-05,-0.23527772101221478,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005405133123188175,4.3053930461280965
ITGAM,4.959262952164423e-05,0.18419330025498412,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005411073104554862,4.304582863750348
OSBPL3,4.9759862674747524e-05,0.7474660248841406,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005425159587251401,4.303120826863895
CIB1,4.985072035990079e-05,0.41269452988933136,3,GSE55235;GSE12021;GSE55457,True,3,0,0.00054309038995457,4.302328561603689
S100G,4.990879475574861e-05,0.6195141723623192,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005433070633395495,4.301822917756555
PLEC,5.003775286582801e-05,-0.7753961460999118,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005439245709403771,4.300702202173747
FADD,5.0041978026493794e-05,0.6360819018102345,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005439245709403771,4.3006655321318314
RRN3P1,5.033300585111089e-05,-0.7379297298332271,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005466702345416838,4.298147133072549
216144_at,5.081333771905783e-05,-1.4784922100589128,3,GSE55235;GSE12021;GSE55457,True,0,3,0.00055146618540561,4.294022277135358
IQGAP1,5.0880760035454387e-05,-0.8611600627864343,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005517770227015587,4.293446410002359
MIR6787,5.095457747805732e-05,-0.08978582007336706,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005521566857256661,4.292816795285339
208082_x_at,5.1139031511771016e-05,-0.8437260676851785,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005537337445582025,4.291247501047197
216805_at,5.124371402542849e-05,-2.5056520505642337,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005544452951739897,4.2903594011308
DENND6B,5.1377376645067585e-05,-0.2565753971452573,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005545897575175394,4.28922807480026
RPL9,5.138754537037382e-05,-0.33532763190763454,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005545897575175394,4.289142126770207
THYN1,5.1401659980188086e-05,0.6432951068242728,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005545897575175394,4.289022855545681
RBM5,5.141298075383993e-05,-0.2510188016348521,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005545897575175394,4.288927216451625
PLD1,5.1545117027762544e-05,0.46369153053231543,3,GSE55235;GSE12021;GSE55457,False,2,1,0.0005555938826295496,4.2878124700185145
PPP1R15A,5.178662605487272e-05,-1.9341870657682374,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005574598674947986,4.285782382735385
YWHAB,5.1796594379260874e-05,-0.132461659123107,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005574598674947986,4.28569879413347
P2RX6,5.1979781305222517e-05,-0.33850161648658733,3,GSE55235;GSE12021;GSE55457,True,0,3,0.000559008562668712,4.284165552040371
WDR83OS,5.2067662448251895e-05,0.4359611108281672,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005591179662287894,4.283431919320911
BTN2A2,5.206854830286378e-05,0.6105513104508559,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005591179662287894,4.2834245305026135
IER2,5.230157074798125e-05,-1.2205532480361507,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005611966429881427,4.281485267979054
POLB,5.239179248084369e-05,0.458234966282536,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005617410877297996,4.2807367427770515
PTHLH,5.2454947146896025e-05,1.030739247199257,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005619947198840637,4.280213546225827
ZXDB,5.265849292546143e-05,-0.5312069709796826,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005635084694461341,4.278531574465079
TPP1,5.2675447312577894e-05,-0.6955523727340974,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005635084694461341,4.27839176773582
PI4K2A,5.277462865671545e-05,-0.7649346226006705,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005640322180523867,4.277574813878322
216170_at,5.2803690922531565e-05,-0.4912229974528977,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005640322180523867,4.277335719677076
TPGS2,5.310652299905794e-05,0.45308129270245295,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005665280298504828,4.27485213186564
